財務

コード,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率
4482,2024/12,4264211000,2140081000,2130136000,1989421000,324152000,22500000,104.12,50
4483,2025/03,143020000000,78475000000,78022000000,24634000000,4395000000,33883000000,1193.49,54.6
4484,2025/03,3280000000,1358000000,1358481000,63729000,-,225610000,83.62,41.4
4485,2024/03,146620000000,54457000000,31220000000,-635000000,-,66295000000,1200.83,21
4486,2024/12,3079067000,2041443000,2041443000,1405122000,-,-,517.36,66.3
4487,2024/12,2530493000,762698000,702119000,-10338000,150000000,69639000,58.21,27.7
4488,2025/03,6943000000,4523000000,4534800000,1292707000,1600000000,-,1145.26,65.2
4489,2024/03,22217000000,13951417000,13951000000,5413212000,3675309000,-,776.08,62.8
4490,2025/02,7510000000,865000000,-2553038000,-12275917000,-,2373812000,86,10.6
4491,2025/03,5136000000,3580000000,3330607000,2572223000,-,-,1758.49,69.7
4492,2025/03,7149000000,2403000000,2403452000,1508817000,1200000000,772359000,209.1,33.6
4493,2024/12,3016447000,1706370000,1663362000,1490536000,-,276494000,181.4,55.3
4494,2025/02,7576240000,5891882000,-,3088013000,200000000,900000000,-,-
4495,2024/06,3609238000,2579565000,2578042000,2151179000,-,-,503.6,71.2
4496,2025/03,3471000000,2523000000,2349322000,2035765000,48956000,5482000,354.53,72.7
4498,2025/03,9607000000,6570000000,6565635000,3971181000,-,-,815.9,68.4
4499,2024/09,10116287000,5417751000,5415488000,2398573000,-,699999000,507.48,53.5
4502,2025/03,14248344000000,6935979000000,6935084000000,1187586000000,548939000000,3966326000000,4407.01,48.7
4503,2025/03,3339544000000,1513255000000,1513255000000,740939000000,266533000000,564893000000,845.25,45.3
4506,2025/03,742604000000,169479000000,169479000000,46784000000,46440000000,258982000000,426.59,22.8
4507,2025/03,1535349000000,1362497000000,1361924000000,1115729000000,-,-,1600.97,88.7
4512,2025/03,15002000000,11610000000,10706840000,4671624000,100000000,-,334.53,77.4
4516,2025/03,283637000000,247340000000,247028000000,222640000000,-,-,3666.27,87.1
4519,2024/12,2208373000000,1901499000000,1901499000000,-,-,-,1155.56,86.1
4521,2025/03,190422000000,152634000000,143794000000,135242000000,3850000000,-,3974.44,80.2
4523,2025/03,1386547000000,865968000000,841417000000,511917000000,87691000000,99832000000,2982.52,60.7
4524,2025/03,17896000000,12152000000,10458000000,6049000000,-,1262000000,2970.22,67.9
4526,2025/03,112999000000,79200000000,67826000000,64774000000,3373000000,6541000000,2649.91,70.1
4527,2025/03,421875000000,271440000000,225007000000,228442000000,7035000000,17818000000,1149.35,61.6
4528,2025/03,1064046000000,788203000000,782451000000,790908000000,30000000000,105000000000,1665.59,73.5
4530,2025/02,343068000000,279407000000,221166000000,257881000000,1065000000,1694000000,3788.45,80.6
4531,2025/03,26871000000,13106000000,12046000000,5449000000,3600000000,3943000000,608.32,48.8
4534,2025/03,160121000000,130694000000,121947000000,116114000000,-,-,3686.66,81.6
4536,2025/03,409277000000,285181000000,286242000000,228291000000,-,-,838.52,69.9
4538,2025/03,81729000000,33043000000,35728000000,12612000000,18000000000,2462000000,3869.04,40.4
4539,2025/03,49851000000,19167000000,15887000000,13432000000,230000000,13304000000,5312.14,38.4
4540,2025/03,464380000000,330110000000,269852000000,229202000000,5285000000,20051000000,3968.03,64.7
4543,2025/03,1828393000000,1368535000000,1368535000000,1016160000000,15000000000,159838000000,927.85,74.8
4544,2025/03,279582000000,137295000000,125425000000,93309000000,10000000000,19182000000,2411.38,49
4547,2025/03,244059000000,210126000000,165550000000,131488000000,1280000000,-,4882.67,85.6
4548,2025/03,83872000000,73187000000,61322000000,54422000000,300000000,-,1340.95,87.3
4549,2025/03,62372000000,43598000000,42734000000,34700000000,-,-,1294.05,69.3
4551,2024/12,140664000000,121533000000,121119000000,110813000000,-,-,4323.29,86.4
4552,2025/03,104855000000,47435000000,45579000000,31191000000,23005000000,12050000000,385.49,44.8
4553,2025/03,470823000000,171625000000,157474000000,150502000000,4699000000,195077000000,3486.37,36.5
4554,2024/09,90000000000,45563000000,41956000000,34256000000,15300000000,83000000,1873.46,50.6
4556,2025/03,8785000000,6775000000,6672617000,5148152000,-,450000000,1607.15,77.1
4558,2025/03,5065000000,2526000000,2489460000,1577497000,750000000,380014000,236.98,49.9
4559,2025/03,159171000000,89797000000,67219110000,67207063000,34298379000,6865780000,2031.32,56.3
4563,2024/12,4668599000,2156591000,-3756157000,-46514594000,-,-,7.17,44
4564,2025/03,1155000000,729000000,658161000,-26908248000,-,-,2.42,57
4565,2024/12,151498000000,68518000000,68518000000,-20942000000,-,26889000000,762.15,45.2
4566,2023/03,4214922000,4002480000,3992727000,3191704000,-,-,30352.17,94.9
4568,2025/03,3456119000000,1623416000000,1623416000000,1457044000000,399000000,100933000000,869.69,47
4569,2025/03,193618000000,136285000000,130892000000,142789000000,7400000000,20235000000,2372.27,70.4
4570,2025/03,1845000000,1514000000,1514358000,425942000,140000000,35091000,162.6,82.1
4571,2025/03,3996000000,2739000000,2726209000,-2986887000,-,-,38.59,68.2
4572,2024/12,2772115000,2475354000,2392439000,-6253962000,-,8410000,129.62,89.3
4574,2024/12,12914000000,7964000000,7260000000,2526000000,-,792000000,158.65,61.7
4575,2024/06,2432855000,2340867000,2304619000,-12853099000,-,-,127.87,94.7
4576,2024/12,1669444000,733869000,732115000,-3732678000,-,476428000,17.59,43.9
4577,2024/05,77708000000,52265000000,50355000000,37087000000,-,4669000000,1702.33,67
4578,2024/12,3739251000000,2778165000000,2733580000000,1904404000000,7350000000,87275000000,5089.59,73.1
4579,2024/12,9655482000,5570509000,5585087000,-45673000,-,2651430000,253.83,57.4
4581,2023/03,941490000000,809343000000,722712000000,713776000000,-,-,9584.69,83.5
4582,2024/12,4968333000,4197560000,3872907000,-32685784000,-,-,84.66,78.1
4583,2024/12,2468857000,1920303000,1910255000,-1020776000,281500000,-,28.53,77.4
4584,2025/03,7008000000,1410000000,1210460000,-12730223000,-,680920000,30.5,19.1
4586,2024/12,2275600000,2169999000,2107943000,-787065000,-,-,44.53,92.9
4587,2024/12,92769826000,56762298000,56762298000,49393469000,2592935000,17041512000,437.94,61.2
4588,2024/12,3198858000,2752209000,2744529000,-5057978000,127776000,166656000,110.4,85.8
4591,2025/03,3185000000,3043000000,3043632000,-2043177000,-,-,68.26,95.5
4592,2025/01,3447000000,1762000000,8003796000,-698901000,-,129000000,21.93,45.1
4593,2024/12,14191000000,2084000000,2063000000,543000000,-,2049000000,22.87,14.5
4594,2025/03,1120000000,924000000,903407000,-3804864000,-,-,9.98,80.6
4595,2024/12,20729000000,17354000000,17353000000,16616000000,-,-,910.98,83.7
